,Product,Year,Indications,Targets
4,Afatinib,2013.0,Metastatic Non-Small Cell Lung Cancer; Refractory; metastatic squamous cell Non-small cell lung cancer,EGFR; ERBB2; ERBB4; KRAS; EML4; MET; BRAF; NRG1; NRAS; ERBB3
7,Alectinib,2015.0,Refractory; metastatic Non small cell lung cancer,ALK; FGFR1; EML4; NPM1; CDKN2A; SMAD4; RET
32,Bevacizumab,2004.0,Cervical Cancer Metastatic; Metastatic Colorectal Cancer (MCRC); Metastatic Non-Squamous Non-Small Cell Lung Cancer; Metastatic Renal Cell Carcinoma; Persistent Cervical Cancer; Recurrent Cervical Cancer; Recurrent Glioblastoma; Stage III epithelial ovarian cancer following initial surgical resection; Stage IV epithelial ovarian cancer following initial surgical resection; Fallopian tube cancer following initial surgical resection; Locally advanced nonsquamous non-small cell lung cancer; Primary peritoneal cancer following initial surgical resection; Recurrent Non-Squamous Non-Small Cell Lung Cancer; Recurrent Platinum-Sensitive Epithelial Ovarian Cancer; Recurrent Platinum-resistant Epithelial Ovarian Cancer; Recurrent platinum drug resistant Fallopian tube cancer; Recurrent platinum drug resistant primary peritoneal cancer; Recurrent platinum sensitive primary peritoneal cancer; Recurrent platinum-sensitive fallopian tube cancer; Unresectable Non-Squamous Non-Small-Cell Lung Cancer,VEGFA; PRKCA; EDN1; VEGFC; MGAT4A; VEGFB; RGS5; THBS2; ARMS2; SHMT1; CFH; GGH; HSP90AB1; MTHFR; VHL; HRAS; CXCR4; BRAF; GC; MMP9; MMP2; HTRA1
50,Carboplatin,1989.0,Advanced Cervical Cancer; Advanced Endometrial Cancer; Advanced Esophageal Cancers; Advanced Head and Neck Cancer; Advanced Melanoma; Advanced Non Small Cell Lung Cancer; Advanced Ovarian Carcinoma; Advanced Sarcoma; Metastatic Breast Cancer; Neuroendocrine Carcinoma of the Skin; Pleural mesothelioma malignant; Refractory Hodgkin Lymphoma; Retinoblastoma; Advanced Bladder cancer; Advanced Small cell lung cancer; Advanced Testicular cancer; Advanced Thymoma; Advanced thymic carcinoma; Refractory Non-Hodgkin&#39;s lymphoma,GCLC; ATP7A; GPX5; PRRC2A; XRCC1; TP73; SOX10; C6ORF15; EIF3A; ACSS2; ERCC1; BRCA2; MTHFR; DOCK8; MAP3K1; HLA-C; FNTB; DSCAM; MSH5; SLC31A1; TRIM5; MAD1L1; ATP7B; ATAT1; SMAD4; SERPINA5; ETS2; MUCL3; XYLT2; PSORS1C1; NF2; ERCC2; CDSN; MTR; BARD1; RNF8; GSR; SLCO1B3; PPP1R18; SLC19A1; HCP5
56,Ceritinib,2014.0,Refractory; locally advanced Non-small cell lung cancer; Refractory; metastatic Non small cell lung cancer,IGF1R; ALK; INSR; TSSK1B; SRC; MAP2K1; EML4; ROS1; NPM1
66,Cyclophosphamide,1959.0,Acute Lymphoblastic Leukaemias (ALL); Acute Myelocytic Leukemia; Adenocarcinoma of the Ovaries; Breast Cancer; Burkitt&#39;s Lymphoma; Chronic Lymphocytic Leukaemia (CLL); Chronic Myeloid Leukemia (CML); Disseminated Neuroblastoma; Ewing&#39;s Sarcoma; Lung Cancers; Lymphoma; Hodgkins; Multiple Myeloma (MM); Non-Hodgkin&#39;s Lymphoma (NHL); Ovarian germ cell tumour; Pheochromocytomas; Retinoblastoma; Rhabdomyosarcomas; Waldenstrom&#39;s Macroglobulinemia (WM); Advanced Alibert-Bazin syndrome; Histiocytic lymphoma; Metastatic gestational trophoblastic tumor; Mixed-cell type lymphoma; Refractory Small cell lung cancer; Relapsed Wilm&#39;s tumor,SLC22A16; NOS3; QUINONE REDUCTASE 2; GNL3; XRCC1; ERCC1; CYP2A6; IL5; CYP2B6; TP53AIP1; PNPLA3; DROSHA; LINC00251; BMP7; MUTYH; CBR1; CBR3; LIG3; ALDH3A1; IRS1; HMMR; PERP; ACTB; GSTP1; CXCL12; PPP2R5D; DOK5; SOD2; CCNK; NTF3; RBX1; TPMT; EPHX1; TNFRSF1A; GSTA1; ADH1C; FOXO1; MYCN; CTH; NAT2; GATA3
87,Docetaxel,1996.0,Esophageal Cancers; Ewing&#39;s Sarcoma; Locally Advanced Breast Cancer (LABC); Metastatic Bladder Cancer; Metastatic Breast Cancer; Metastatic Hormone Refractory Prostate Cancer; Node Positive Breast Cancer; Ovarian Cancer Metastatic; Small Cell Lung Cancer (SCLC); Soft Tissue Sarcoma (STS); Advanced untreated gastric adenocarcinoma; Locally advanced Squamous cell carcinoma of head and neck; Locally advanced untreated non small cell lung cancer; Metastatic Squamous cell carcinoma of head and neck; Metastatic untreated non small cell lung cancer; Refractory; locally advanced Non small cell lung cancer; Refractory; metastatic Non small cell lung cancer,TUBA3D; TUBA4A; TUBA1B; TUBA3E; TUBB8; TUBB2B; TUBB4B; TUBA1A; TUBA1C; TUBB3; TUBB6; TUBB2A; FOLH1; SLC10A2; EPHX1; RRM1; CYP4B1; IGF2; PGP; SOX10; XRCC1; PPCDC; ERCC2; KLK3; BARD1; ATP7A; HNF4A; SPG7; XRCC4; TLE3; RNF8; ORM2; MAP3K1; BCL2; SULT1C4; RPL13; CHST3; MUC16; SNORD68; NR1I3; SLCO1B3; MDM4; VAC14; ABCC6; FBXW7; ACSS2; AKR1C3; PRDX4; GAS6
107,Everolimus,2009.0,Subependymal giant cell astrocytoma; tuberous sclerosis complex; Advanced Carcinoid tumor; Locally advanced gastrointestinal origin Progressive Neuroendocrine Tumors; Locally advanced lung origin Progressive Neuroendocrine Tumors; Metastatic gastrointestinal origin Progressive Neuroendocrine Tumors; Metastatic lung origin Progressive Neuroendocrine Tumors; Pancreatic origin Progressive Neuroendocrine Tumors; Refractory Advanced Renal Cell Carcinoma; Refractory Waldenstrom&#39;s Macroglobulinaemia; Refractory; advanced Breast cancer; Unresectable gastrointestinal origin Progressive Neuroendocrine Tumors; Unresectable lung origin Progressive Neuroendocrine Tumors,MTOR; FKBP1A; GNAQ; RPTOR; BRCA2; STK11; BRAF; RB1; NF2; HRAS; BAP1; KDM5C; PTEN; NOTCH1; NRAS; FLCN; VHL; PIK3CA; TSC2; TSC1; MPL; PBRM1; GNA11
171,Nab-Paclitaxel,2005.0,Advanced Cervical Cancer; Advanced Head and Neck Cancer; Advanced Ovarian Cancer; Advanced Soft Tissue Sarcoma; Esophageal Cancers; Fallopian Tube Cancer; Kaposi&#39;s sarcoma; Locally Advanced Non-Small Cell Lung Cancer; Malignant Neoplasm of Stomach; Malignant Peritoneal Neoplasm; Metastatic Bladder Cancer; Metastatic Breast Cancer; Metastatic Melanoma; Metastatic Non-Small Cell Lung Cancer; Non-Small Cell Lung Carcinoma (NSCLC); Ovarian Cancer; Pancreatic Adenocarcinoma Metastatic; Advanced Bladder cancer; Advanced Thymoma; Metastatic Penile cancer; Refractory Small cell lung cancer; Refractory Testicular germ cell cancer,TUBB; TUBB8; TUBA4A; TUBA3E; TUBB2A; TUBA1A; TUBB1; TUBB3; TUBA3D; TUBB2B; TUBA1C; TUBA1B; BCL2; TUBB4B; TUBB6; ACSS2; STMN1; MAP3K1; FNTB; ERCC2; FGD4; PDCD4; DSCAM; EPHA5; EIF4EBP1; MYB; GSTT1; TUBB4A; PGP; SOD2; SLCO1B3; TUBA3C; LIF; TLE3; SMAD4; SPATA5; NFE2; MAD1L1; EDNRB; SOX10; TRIM5; ABCC10; FOS; ERCC1
188,Paclitaxel,1992.0,Advanced Cervical Cancer; Advanced Head and Neck Cancer; Advanced Ovarian Cancer; Advanced Soft Tissue Sarcoma; Esophageal Cancers; Fallopian Tube Cancer; Kaposi&#39;s sarcoma; Locally Advanced Non-Small Cell Lung Cancer; Malignant Neoplasm of Stomach; Malignant Peritoneal Neoplasm; Metastatic Bladder Cancer; Metastatic Breast Cancer; Metastatic Melanoma; Metastatic Non-Small Cell Lung Cancer; Non-Small Cell Lung Carcinoma (NSCLC); Ovarian Cancer; Pancreatic Adenocarcinoma Metastatic; Advanced Bladder cancer; Advanced Thymoma; Metastatic Penile cancer; Refractory Small cell lung cancer; Refractory Testicular germ cell cancer,TUBB; TUBB8; TUBA4A; TUBA3E; TUBB2A; TUBA1A; TUBB1; TUBB3; TUBA3D; TUBB2B; TUBA1C; TUBA1B; BCL2; TUBB4B; TUBB6; ACSS2; STMN1; MAP3K1; FNTB; ERCC2; FGD4; PDCD4; DSCAM; EPHA5; EIF4EBP1; MYB; GSTT1; TUBB4A; PGP; SOD2; SLCO1B3; TUBA3C; LIF; TLE3; SMAD4; SPATA5; NFE2; MAD1L1; EDNRB; SOX10; TRIM5; ABCC10; FOS; ERCC1
196,Pembrolizumab,2014.0,Advanced Renal Cell Carcinoma; Cervical Cancers; Colorectal Cancers; Metastatic Melanoma; Metastatic Solid Tumors; Unresectable Melanoma; Urothelial carcinoma ureter metastatic; Locally advanced Urothelial Carcinoma; Locally advanced gastroesphageal juntion adenocarcinoma; Metastatic gastroesphageal juntion adenocarcinoma; Metastatic nonsquamous non-small cell lung cancer; Recurrent; metastatic Head and Neck Squamous Cell Carcinoma; Refractory; metastatic Non small cell lung cancer; Refractory; relapsed Hodgkin Lymphoma; Refractory; relapsed Mediastinal Large B-cell Lymphoma; Unresectable Solid Tumors,PDCD1; PDCD1LG2; B2M; MDM2; CDK12; PBRM1; STK11; ARID1A; CD274; ALK; MDM4; POLE; HLA-DRA; EGFR; JAK1; JAK2; NRAS; BRAF; PTEN
197,Pemetrexed,2004.0,Mesothelioma; Ovarian Cancer; Pleural Mesotheliomas; Urothelial carcinoma ureter metastatic; Locally advanced nonsquamous non-small cell lung cancer; Metastatic nonsquamous non-small cell lung cancer; Recurrent; IV-B Cervical cancer; Unresectable Thymoma,DHFR; GART; TYMS; ATIC; FOLR3; SLC46A1; MTHFR; GGH; KRAS; ALK; SLC19A1
218,Ramucirumab,2014.0,Advanced Gastric Cancer; Advanced gastro-esophageal junction adenocarcinoma; Refractory; metastatic Colorectal cancer; Refractory; metastatic Non small cell lung cancer,KDR; PDGFRA; KRAS; EGFR; ERBB2; ALK
257,Topotecan,1996.0,Acute Myeloid Leukemia (AML); Ewing&#39;s Sarcoma; Refractory Neuroblastoma; Metastatic Rhabdomyosarcoma; Recurrent; IV-B Cervical cancer; Refractory CNS lymphoma; Refractory CNS malignancy; Refractory; metastatic Ovarian cancer; Relapsed Small cell lung cancer,TOP1MT; TOP1; TYMS; ATRX; BDNF; RB1; MUC16; ALK; DDO; AKT1; ABCG2
263,Trastuzumab Emtansine,2013.0,Refractory; metastatic Non small cell lung cancer,TUBA1A; TUBB8; TUBB3; TUBB2A; TUBA3E; TUBA4A; TUBA3D; TUBA1C; TUBB6; TUBB4B; TUBA1B; TUBB2B
273,Vemurafenib,2011.0,Metastatic Melanoma; Unresectable Melanoma; Refractory Non-small cell lung cancer,BRAF; PREX2; CIC; CDKN2A; STAG3; AKT3; MAP2K1; MAP2K2; PTEN; STAG2; PIK3R2; NRAS; NF1; ATXN1L; RAC1; SOX10
